Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       48     0.00     0.00  std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > std::num_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::_M_insert_float<long double>(std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> >, std::ios_base&, wchar_t, char, long double) const
  0.00      0.00     0.00       48     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned int)
  0.00      0.00     0.00       48     0.00     0.00  std::_Rb_tree_node<Catch::TestCase>* std::_Rb_tree<Catch::TestCase, Catch::TestCase, std::_Identity<Catch::TestCase>, std::less<Catch::TestCase>, std::allocator<Catch::TestCase> >::_M_create_node<Catch::TestCase const&>(Catch::TestCase const&)
  0.00      0.00     0.00       48     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_Rb_tree_impl<std::less<std::string>, true>::~_Rb_tree_impl()
  0.00      0.00     0.00       48     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::string>, bool> std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_insert_unique<std::string const&>(std::string const&)
  0.00      0.00     0.00       48     0.00     0.00  std::basic_istream<char, std::char_traits<char> >& std::ws<char, std::char_traits<char> >(std::basic_istream<char, std::char_traits<char> >&)
  0.00      0.00     0.00       45     0.00     0.00  __gnu_cxx::stdio_filebuf<char, std::char_traits<char> >::~stdio_filebuf()
  0.00      0.00     0.00       45     0.00     0.00  std::num_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::put(std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> >, std::ios_base&, wchar_t, bool) const
  0.00      0.00     0.00       44     0.00     0.00  __gnu_cxx::new_allocator<IntElement>::max_size() const
  0.00      0.00     0.00       44     0.00     0.00  std::num_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::put(std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> >, std::ios_base&, wchar_t, void const*) const
  0.00      0.00     0.00       44     0.00     0.00  std::__timepunct<wchar_t>::__timepunct(unsigned int)
  0.00      0.00     0.00       42     0.00     0.00  Catch::Clara::Detail::NullBinder<Catch::ConfigData>::~NullBinder()
  0.00      0.00     0.00       42     0.00     0.00  Catch::Session::run()
  0.00      0.00     0.00       41     0.00     0.00  Catch::getCurrentMutableContext()
  0.00      0.00     0.00       41     0.00     0.00  Catch::cout()
  0.00      0.00     0.00       41     0.00     0.00  Catch::Clara::Parser::handleOpt(unsigned int, char, std::string const&, std::vector<Catch::Clara::Parser::Token, std::allocator<Catch::Clara::Parser::Token> >&)
  0.00      0.00     0.00       41     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > >, int>(__gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > >, __gnu_cxx::__normal_iterator<Catch::TestCase*, std::vector<Catch::TestCase, std::allocator<Catch::TestCase> > >, int)
  0.00      0.00     0.00       41     0.00     0.00  Catch::Ptr<Catch::IStreamingReporter>* std::__uninitialized_move_if_noexcept_a<Catch::Ptr<Catch::IStreamingReporter>*, Catch::Ptr<Catch::IStreamingReporter>*, std::allocator<Catch::Ptr<Catch::IStreamingReporter> > >(Catch::Ptr<Catch::IStreamingReporter>*, Catch::Ptr<Catch::IStreamingReporter>*, Catch::Ptr<Catch::IStreamingReporter>*, std::allocator<Catch::Ptr<Catch::IStreamingReporter> >&)
  0.00      0.00     0.00       40     0.00     0.00  Catch::Config::Config(Catch::ConfigData const&)
  0.00      0.00     0.00       40     0.00     0.00  Catch::toString(wchar_t*)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::new_allocator<Catch::Clara::Parser::Token>::new_allocator()
